L4 | Sun May 05 22:36:55 2019 (268 ms) | general | New game starting up
L1 | Sun May 05 22:39:18 2019 (479 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (479 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (479 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (480 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (480 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (480 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (481 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (481 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (481 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (482 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (482 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (482 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (482 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (483 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (483 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (483 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (483 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (484 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (484 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (484 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (485 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (485 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (486 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (486 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (487 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (487 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (487 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (488 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (488 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (488 ms) | general | CRITICAL ERROR:  TGA file graphics\recordButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (488 ms) | general | Failed to read file for SpriteButton: recordButton.tga
L1 | Sun May 05 22:39:18 2019 (489 ms) | general | CRITICAL ERROR:  TGA file graphics\stopButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (489 ms) | general | Failed to read file for SpriteButton: stopButton.tga
L1 | Sun May 05 22:39:18 2019 (489 ms) | general | CRITICAL ERROR:  TGA file graphics\playButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (489 ms) | general | Failed to read file for SpriteButton: playButton.tga
L1 | Sun May 05 22:39:18 2019 (490 ms) | general | CRITICAL ERROR:  TGA file graphics\playButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (490 ms) | general | Failed to read file for SpriteButton: playButton.tga
L1 | Sun May 05 22:39:18 2019 (490 ms) | general | CRITICAL ERROR:  TGA file graphics\clearButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (491 ms) | general | Failed to read file for SpriteButton: clearButton.tga
L1 | Sun May 05 22:39:18 2019 (491 ms) | general | CRITICAL ERROR:  TGA file graphics\copyButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (491 ms) | general | Failed to read file for SpriteButton: copyButton.tga
L1 | Sun May 05 22:39:18 2019 (492 ms) | general | CRITICAL ERROR:  TGA file graphics\pasteButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (492 ms) | general | Failed to read file for SpriteButton: pasteButton.tga
L1 | Sun May 05 22:39:18 2019 (492 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (493 ms) | general | CRITICAL ERROR:  TGA file graphics\recordButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (493 ms) | general | Failed to read file for SpriteButton: recordButton.tga
L1 | Sun May 05 22:39:18 2019 (493 ms) | general | CRITICAL ERROR:  TGA file graphics\stopButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (493 ms) | general | Failed to read file for SpriteButton: stopButton.tga
L1 | Sun May 05 22:39:18 2019 (494 ms) | general | CRITICAL ERROR:  TGA file graphics\playButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (494 ms) | general | Failed to read file for SpriteButton: playButton.tga
L1 | Sun May 05 22:39:18 2019 (494 ms) | general | CRITICAL ERROR:  TGA file graphics\playButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (495 ms) | general | Failed to read file for SpriteButton: playButton.tga
L1 | Sun May 05 22:39:18 2019 (495 ms) | general | CRITICAL ERROR:  TGA file graphics\clearButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (495 ms) | general | Failed to read file for SpriteButton: clearButton.tga
L1 | Sun May 05 22:39:18 2019 (495 ms) | general | CRITICAL ERROR:  TGA file graphics\copyButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (496 ms) | general | Failed to read file for SpriteButton: copyButton.tga
L1 | Sun May 05 22:39:18 2019 (496 ms) | general | CRITICAL ERROR:  TGA file graphics\pasteButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (496 ms) | general | Failed to read file for SpriteButton: pasteButton.tga
L1 | Sun May 05 22:39:18 2019 (496 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (497 ms) | general | CRITICAL ERROR:  TGA file graphics\recordButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (497 ms) | general | Failed to read file for SpriteButton: recordButton.tga
L1 | Sun May 05 22:39:18 2019 (498 ms) | general | CRITICAL ERROR:  TGA file graphics\stopButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (498 ms) | general | Failed to read file for SpriteButton: stopButton.tga
L1 | Sun May 05 22:39:18 2019 (498 ms) | general | CRITICAL ERROR:  TGA file graphics\playButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (498 ms) | general | Failed to read file for SpriteButton: playButton.tga
L1 | Sun May 05 22:39:18 2019 (499 ms) | general | CRITICAL ERROR:  TGA file graphics\playButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (499 ms) | general | Failed to read file for SpriteButton: playButton.tga
L1 | Sun May 05 22:39:18 2019 (499 ms) | general | CRITICAL ERROR:  TGA file graphics\clearButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (499 ms) | general | Failed to read file for SpriteButton: clearButton.tga
L1 | Sun May 05 22:39:18 2019 (500 ms) | general | CRITICAL ERROR:  TGA file graphics\copyButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (500 ms) | general | Failed to read file for SpriteButton: copyButton.tga
L1 | Sun May 05 22:39:18 2019 (500 ms) | general | CRITICAL ERROR:  TGA file graphics\pasteButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (500 ms) | general | Failed to read file for SpriteButton: pasteButton.tga
L1 | Sun May 05 22:39:18 2019 (501 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (501 ms) | general | CRITICAL ERROR:  TGA file graphics\recordButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (501 ms) | general | Failed to read file for SpriteButton: recordButton.tga
L1 | Sun May 05 22:39:18 2019 (502 ms) | general | CRITICAL ERROR:  TGA file graphics\stopButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (502 ms) | general | Failed to read file for SpriteButton: stopButton.tga
L1 | Sun May 05 22:39:18 2019 (502 ms) | general | CRITICAL ERROR:  TGA file graphics\playButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (502 ms) | general | Failed to read file for SpriteButton: playButton.tga
L1 | Sun May 05 22:39:18 2019 (503 ms) | general | CRITICAL ERROR:  TGA file graphics\playButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (503 ms) | general | Failed to read file for SpriteButton: playButton.tga
L1 | Sun May 05 22:39:18 2019 (503 ms) | general | CRITICAL ERROR:  TGA file graphics\clearButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (503 ms) | general | Failed to read file for SpriteButton: clearButton.tga
L1 | Sun May 05 22:39:18 2019 (504 ms) | general | CRITICAL ERROR:  TGA file graphics\copyButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (504 ms) | general | Failed to read file for SpriteButton: copyButton.tga
L1 | Sun May 05 22:39:18 2019 (504 ms) | general | CRITICAL ERROR:  TGA file graphics\pasteButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (504 ms) | general | Failed to read file for SpriteButton: pasteButton.tga
L1 | Sun May 05 22:39:18 2019 (505 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (505 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (506 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (506 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (506 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (506 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (507 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (507 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (507 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (507 ms) | general | CRITICAL ERROR:  TGA file graphics\slotPlaceholder.tga does not exist
L1 | Sun May 05 22:39:18 2019 (508 ms) | general | CRITICAL ERROR:  TGA file graphics\faceFrame.tga does not exist
L1 | Sun May 05 22:39:18 2019 (508 ms) | general | CRITICAL ERROR:  TGA file graphics\faceFrameMask.tga does not exist
L1 | Sun May 05 22:39:18 2019 (508 ms) | general | CRITICAL ERROR:  TGA file graphics\faceFrameBackground.tga does not exist
L1 | Sun May 05 22:39:18 2019 (509 ms) | general | CRITICAL ERROR:  TGA file graphics\faceFrame.tga does not exist
L1 | Sun May 05 22:39:18 2019 (509 ms) | general | CRITICAL ERROR:  TGA file graphics\faceFrameMask.tga does not exist
L1 | Sun May 05 22:39:18 2019 (510 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (510 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (510 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (510 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (511 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (511 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (511 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (511 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (512 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (512 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (513 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (513 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (513 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (513 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (514 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (514 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (514 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (514 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (515 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (515 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (515 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (515 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (516 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (516 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (516 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (516 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (517 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (517 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (517 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (517 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (518 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (518 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (518 ms) | general | CRITICAL ERROR:  TGA file graphics\loading.tga does not exist
L1 | Sun May 05 22:39:18 2019 (519 ms) | general | CRITICAL ERROR:  TGA file graphics\loading2.tga does not exist
L1 | Sun May 05 22:39:18 2019 (519 ms) | general | CRITICAL ERROR:  TGA file graphics\loading3.tga does not exist
L1 | Sun May 05 22:39:18 2019 (519 ms) | general | CRITICAL ERROR:  TGA file graphics\responseWarning.tga does not exist
L1 | Sun May 05 22:39:18 2019 (520 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (520 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (520 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (521 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (521 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (521 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (521 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (522 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (522 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (522 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (522 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (523 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (523 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (523 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (523 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (524 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (524 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (524 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (524 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (525 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (525 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (525 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (525 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (526 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (526 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (526 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (526 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (527 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (527 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (527 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (528 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (528 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (528 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (528 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (529 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (529 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (529 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (529 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (530 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (530 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (530 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (530 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (531 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (531 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (531 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (531 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (532 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (532 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (532 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (532 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (533 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (533 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (533 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (533 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (534 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (534 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (534 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (534 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (535 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (535 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (536 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (536 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (537 ms) | general | CRITICAL ERROR:  TGA file graphics\swapButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (537 ms) | general | Failed to read file for SpriteButton: swapButton.tga
L1 | Sun May 05 22:39:18 2019 (537 ms) | general | CRITICAL ERROR:  TGA file graphics\swapButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (537 ms) | general | Failed to read file for SpriteButton: swapButton.tga
L1 | Sun May 05 22:39:18 2019 (538 ms) | general | CRITICAL ERROR:  TGA file graphics\swapButtonH.tga does not exist
L2 | Sun May 05 22:39:18 2019 (538 ms) | general | Failed to read file for SpriteButton: swapButtonH.tga
L1 | Sun May 05 22:39:18 2019 (538 ms) | general | CRITICAL ERROR:  TGA file graphics\swapButtonH.tga does not exist
L2 | Sun May 05 22:39:18 2019 (538 ms) | general | Failed to read file for SpriteButton: swapButtonH.tga
L1 | Sun May 05 22:39:18 2019 (539 ms) | general | CRITICAL ERROR:  TGA file graphics\loading.tga does not exist
L1 | Sun May 05 22:39:18 2019 (539 ms) | general | CRITICAL ERROR:  TGA file graphics\loading2.tga does not exist
L1 | Sun May 05 22:39:18 2019 (540 ms) | general | CRITICAL ERROR:  TGA file graphics\loading3.tga does not exist
L1 | Sun May 05 22:39:18 2019 (540 ms) | general | CRITICAL ERROR:  TGA file graphics\responseWarning.tga does not exist
L1 | Sun May 05 22:39:18 2019 (540 ms) | general | CRITICAL ERROR:  TGA file graphics\centerMark.tga does not exist
L1 | Sun May 05 22:39:18 2019 (541 ms) | general | CRITICAL ERROR:  TGA file graphics\testGround.tga does not exist
L1 | Sun May 05 22:39:18 2019 (541 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (542 ms) | general | CRITICAL ERROR:  TGA file graphics\recordButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (542 ms) | general | Failed to read file for SpriteButton: recordButton.tga
L1 | Sun May 05 22:39:18 2019 (542 ms) | general | CRITICAL ERROR:  TGA file graphics\stopButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (542 ms) | general | Failed to read file for SpriteButton: stopButton.tga
L1 | Sun May 05 22:39:18 2019 (543 ms) | general | CRITICAL ERROR:  TGA file graphics\playButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (543 ms) | general | Failed to read file for SpriteButton: playButton.tga
L1 | Sun May 05 22:39:18 2019 (543 ms) | general | CRITICAL ERROR:  TGA file graphics\playButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (543 ms) | general | Failed to read file for SpriteButton: playButton.tga
L1 | Sun May 05 22:39:18 2019 (544 ms) | general | CRITICAL ERROR:  TGA file graphics\clearButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (544 ms) | general | Failed to read file for SpriteButton: clearButton.tga
L1 | Sun May 05 22:39:18 2019 (544 ms) | general | CRITICAL ERROR:  TGA file graphics\copyButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (544 ms) | general | Failed to read file for SpriteButton: copyButton.tga
L1 | Sun May 05 22:39:18 2019 (545 ms) | general | CRITICAL ERROR:  TGA file graphics\pasteButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (545 ms) | general | Failed to read file for SpriteButton: pasteButton.tga
L1 | Sun May 05 22:39:18 2019 (545 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (546 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (546 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (546 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (547 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (547 ms) | general | CRITICAL ERROR:  TGA file graphics\footstepOffButton.tga does not exist
L2 | Sun May 05 22:39:18 2019 (548 ms) | general | Failed to read file for SpriteButton: footstepOffButton.tga
